#############################################################################
# Operations Research for Health Care
# Lesson 11/15
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departmento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Under Uncertainty
# Robust Optimization
# Ref: Correia, I., & Saldanha-da-Gama, F. (2019). 
# Facility location under uncertainty. Location science, 185-213.
# Minmax Data (Medium Instance)
#############################################################################
# glpsol -m ro.mod -d ro.dat --cuts

################################################
# The Minmax P-median
# ###############################################
# The set of all origin.
set I:= 1   2   3   4   5   6   7   8
9   10  11  12     13   14  15;

# The set of all (possible) destination points.
set J:= 1   2   3   4   5   6   7; 

# Finite set of scenarios w in Omega
set W:= 1    2  3   4   5   6   7   8   9   10;     

# Demand at oring i in I and scenario w in W
param D: 1      2       3       4       5       6       7       8       9       10:=
1       70      76      63      37      29      53      57      27      74      35
2       46      42      43      30      67      64      50      63      40      44
3       19      49      49      42      68      62      48      68      51      55
4       10      61      62      14      59      35      54      35      46      42
5       30      47      34      70      33      44      32      59      63      80
6       61      34      80      69      73      28      52      45      46      49
7       49      66      41      39      59      73      37      66      43      31
8       34      65      64      49      49      42      55      39      52      37
9       59      72      71      29      59      56      70      24      53      85
10      41      57      87      27      49      37      50      65      43      38
11      58      78      42      62      29      59      61      33      68      32
12      18      40      52      84      28      72      74      36      70      62
13      62      25      28      38      70      64      33      49      74      39
14      44      60      42      16      49      64      48      52      53      65
15      59      45      52      82      46      49      44      56      56      53
;

# # Distance or travel time from i in J, to j in J, in scen w
param A
[*,*,1]: 1      2       3       4       5       6       7:=
14      183     127     192     166     111     198     126
15      163     185     183     174     186     108     145

[*,*,7]: 1      2       3       4       5       6       7:=
1       150     197     191     101     147     180     162
2       110     186     180     166     128     161     114
3       163     145     112     142     195     186     163
4       177     114     111     156     188     188     152
5       104     127     131     174     190     187     145
6       159     144     130     192     189     174     135
7       182     137     154     186     144     167     105
8       117     189     177     119     191     159     190
9       194     115     173     125     163     172     147
10      103     179     149     145     155     113     125
11      154     160     159     169     195     197     167
12      117     186     176     159     157     119     167
13      109     191     140     184     160     124     138
14      108     189     119     177     181     131     196
15      126     171     152     179     181     181     129

[*,*,8]: 1      2       3       4       5       6       7:=
1       131     133     138     118     140     135     107
2       128     122     121     137     142     173     113
3       193     104     187     112     183     134     165
4       187     125     188     158     144     182     173
5       119     189     122     158     160     159     185
6       190     181     136     189     121     183     180
7       139     186     148     149     150     148     122
8       176     138     191     175     187     138     199
9       160     108     125     102     159     148     171
10      103     155     129     151     134     130     133
11      181     149     104     195     115     189     106
12      194     192     133     174     130     194     139
13      147     129     171     198     145     164     153
14      111     110     176     179     187     135     178
15      133     154     105     191     182     197     120

[*,*,9]: 1      2       3       4       5       6       7:=
1       109     150     119     143     193     188     163
2       115     121     138     171     127     114     143
3       197     145     161     153     194     144     160
4       166     125     157     129     142     157     144
5       145     112     198     193     104     165     158
6       200     199     113     114     198     162     187
7       112     134     133     135     155     170     191
8       170     137     109     103     107     141     113
9       162     167     189     130     173     185     131
10      167     191     124     198     143     146     152
11      181     109     143     185     169     182     179
12      190     179     196     188     152     154     163
13      115     178     184     155     147     114     130
14      134     165     155     124     151     122     113
15      189     200     197     171     123     135     197

[*,*,10]: 1     2       3       4       5       6       7:=
1       102     160     160     172     132     108     143
2       151     144     170     165     149     160     174
3       112     166     199     145     134     139     184
4       147     156     174     136     149     144     136
5       110     106     119     116     145     161     108
6       137     171     193     180     155     162     106
7       122     158     200     169     170     145     179
8       130     113     111     127     200     136     156
9       111     112     107     145     137     121     138
10      160     169     129     143     197     124     182
11      152     169     111     170     185     161     197
12      135     161     147     150     148     165     188
13      171     123     114     185     102     137     106
14      164     151     130     171     183     108     140
15      188     106     179     173     137     173     182
;

# New facilities to be located
param P:= 2; 

param Vopt:=
1   83237.00
2   106026.00
3   99684.00
4   82438.00
5   96296.00
6   98545.00
7   95063.00
8   88247.00
9   111865.00
10  94252.00
;

end;
###############################################

